YEAR,DATE,MONTH,SITE,PLANT,DEPTH,FROND,LNGTH_WC,DIAM_WC,WT_WC,NODES_WC,WT_NB_WC,LNGTH_C,DIAM_C,WT_C,NODES_C,WT_NB_C,STATUS,SCRAP,BLADES,NOTES,use,Sum water column and canopy lengths,Sum water column and canopy weight
2002,5/7/02,5,MOHK,1,8.2,1,1.5,,0.2,,,0,,0,,,,12,,,Y,1.5,0.2
2002,5/7/02,5,MOHK,1,8.2,2,1.7,,0.1,,,0,,0,,,,12,,,Y,1.7,0.1
2002,5/7/02,5,MOHK,1,8.2,3,2.3,,0.14,,,0,,0,,,,12,,,Y,2.3,0.14
2002,5/7/02,5,MOHK,1,8.2,4,1.9,,0.15,,,0,,0,,,,12,,,Y,1.9,0.15
2002,5/7/02,5,MOHK,1,8.2,5,2,,0.12,,,0,,0,,,,12,,,Y,2,0.12
2002,5/7/02,5,MOHK,1,8.2,6,3.9,,0.34,,,0,,0,,,,12,,,Y,3.9,0.34
2002,5/7/02,5,MOHK,1,8.2,7,0.9,,0.04,,,0,,0,,,,12,,,Y,0.9,0.04
2002,5/7/02,5,MOHK,1,8.2,8,6.4,,0.65,,,0,,0,,,,12,,,Y,6.4,0.65
2002,5/7/02,5,MOHK,1,8.2,9,7.2,,1.02,,,0,,0,,,,12,,,Y,7.2,1.02
2002,5/7/02,5,MOHK,1,8.2,10,4.8,,0.52,,,0,,0,,,,12,,,Y,4.8,0.52
2002,5/7/02,5,MOHK,1,8.2,11,5.5,,0.52,,,0,,0,,,,12,,,Y,5.5,0.52
2002,5/7/02,5,MOHK,1,8.2,12,4.3,,0.4,,,0,,0,,,,12,,,Y,4.3,0.4
2002,5/7/02,5,MOHK,1,8.2,13,3.9,,0.4,,,0,,0,,,,12,,,Y,3.9,0.4
2002,5/7/02,5,MOHK,1,8.2,14,8.2,,1.23,,,0.2,,0.01,,,,12,,,Y,8.4,1.24
2002,5/7/02,5,MOHK,1,8.2,15,7.4,,1.01,,,0,,0,,,,12,,,Y,7.4,1.01
2002,5/7/02,5,MOHK,1,8.2,16,8.2,,0.31,,,0.8,,0.03,,,,12,,,Y,9,0.34
2002,5/7/02,5,MOHK,1,8.2,17,8.2,,0.52,,,0,,0,,,,12,,,Y,8.2,0.52
2002,5/7/02,5,MOHK,1,8.2,18,8.2,,0.82,,,1.4,,0.23,,,,12,,,Y,9.6,1.05
2002,5/7/02,5,MOHK,1,8.2,19,8.2,,0.76,,,2.6,,0.62,,,,12,68,,Y,10.8,1.38
2002,5/7/02,5,MOHK,1,8.2,20,8.2,,0.46,,,1.7,,0.08,,,,12,,,Y,9.9,0.54
2002,5/7/02,5,MOHK,1,8.2,21,8.2,,0.31,,,0.6,,0.03,,,,12,,,Y,8.8,0.34
2002,5/7/02,5,MOHK,1,8.2,22,7.6,,1.04,,,0,,0,,,,12,47,,Y,7.6,1.04
2002,5/7/02,5,MOHK,1,8.2,23,8.2,,1.41,,,1,,0.05,,,,12,46,,Y,9.2,1.46
2002,5/7/02,5,MOHK,1,8.2,24,7.3,,0.79,,,0,,0,,,,12,36,,Y,7.3,0.79
2002,5/7/02,5,MOHK,1,8.2,25,6.2,,0.96,,,0,,0,,,,12,48,,Y,6.2,0.96
2002,5/7/02,5,MOHK,1,8.2,26,8.2,,0.43,,,11.7,,2,,,T,12,53,,Y,19.9,2.43
2002,5/7/02,5,MOHK,1,8.2,27,8.2,,0.68,,,0.3,,0.02,,,,12,60,,Y,8.5,0.7
2002,5/7/02,5,MOHK,1,8.2,28,8.2,,0.38,,,1.3,,0.09,,,T,12,7,,Y,9.5,0.47
2002,5/7/02,5,MOHK,1,8.2,29,8.2,,0.62,,,6.5,,2.19,,,G,12,111,,Y,14.7,2.81
2002,5/7/02,5,MOHK,1,8.2,30,8.2,,0.55,,,2.6,,0.46,,,T,12,28,,Y,10.8,1.01
2002,5/7/02,5,MOHK,1,8.2,31,8.2,,0.61,,,2.7,,0.69,,,G,12,56,,Y,10.9,1.3
2002,5/7/02,5,MOHK,1,8.2,32,8.2,,0.93,,,0.4,,0.04,,,G,12,58,,Y,8.6,0.97
2002,5/7/02,5,MOHK,1,8.2,33,8.2,,0.69,,,9.2,,1.9,,,T,12,90,,Y,17.4,2.59
2002,5/7/02,5,MOHK,1,8.2,34,8.2,,0.37,,,5.4,,1.23,,,G,12,60,,Y,13.6,1.6
2002,5/7/02,5,MOHK,1,8.2,35,8.2,,0.45,,,13.7,,2.97,,,T,12,133,,Y,21.9,3.42
2002,5/7/02,5,MOHK,1,8.2,36,8.2,,0.52,,,7.9,,2.44,,,G,12,98,,Y,16.1,2.96
2002,5/7/02,5,MOHK,1,8.2,37,3.8,,0.38,,,0,,0,,,G,12,28,,Y,3.8,0.38
2002,5/7/02,5,MOHK,1,8.2,38,8.2,,0.51,,,6,,1.55,,,G,12,,,Y,14.2,2.06
2002,5/7/02,5,MOHK,1,8.2,39,8.2,,0.53,,,0.6,,0.19,,,T,12,25,,Y,8.8,0.72
2002,5/7/02,5,MOHK,1,8.2,40,3.7,,0.06,,,0,,0,,,,12,,,Y,3.7,0.06
2002,5/7/02,5,MOHK,1,8.2,41,8.2,,0.38,,,5.4,,0.81,,,T,12,16,,Y,13.6,1.19
2002,5/7/02,5,MOHK,1,8.2,42,4.6,,0.43,,,0,,0,,,,12,,,Y,4.6,0.43
2002,5/7/02,5,MOHK,1,8.2,43,8.2,,0.5,,,1.8,,0.24,,,T,12,27,,Y,10,0.74
2002,5/7/02,5,MOHK,1,8.2,44,5.8,,0.8,,,0,,0,,,,12,,,Y,5.8,0.8
2002,5/7/02,5,MOHK,1,8.2,45,5.3,,0.41,,,0,,0,,,,12,17,,Y,5.3,0.41
2002,5/7/02,5,MOHK,1,8.2,46,6.4,,0.67,,,0,,0,,,G,12,43,,Y,6.4,0.67
2002,5/7/02,5,MOHK,1,8.2,47,8.2,,0.66,,,2,,0.35,,,T,12,22,,Y,10.2,1.01
2002,5/7/02,5,MOHK,1,8.2,48,4.5,,0.4,,,0,,0,,,,12,33,,Y,4.5,0.4
2002,5/7/02,5,MOHK,1,8.2,49,8.2,,0.45,,,1.5,,0.18,,,,12,22,,Y,9.7,0.63
2002,5/7/02,5,MOHK,1,8.2,50,8.2,,0.43,,,14,,2.89,,,T,12,105,,Y,22.2,3.32
2002,5/7/02,5,MOHK,1,8.2,51,5.3,,0.58,,,0,,0,,,,12,34,,Y,5.3,0.58
2002,5/7/02,5,MOHK,1,8.2,52,8.2,,0.55,,,1.6,,0.05,,,,12,28,,Y,9.8,0.6
2002,5/7/02,5,MOHK,1,8.2,53,8.2,,0.8,,,0.3,,0.06,,,T,12,29,,Y,8.5,0.86
2002,5/7/02,5,MOHK,1,8.2,54,2.4,,0.15,,,0,,0,,,,12,32,,Y,2.4,0.15
2002,5/7/02,5,MOHK,1,8.2,55,8.2,,0.5,,,1.6,,0.23,,,T,12,26,,Y,9.8,0.73
2002,5/7/02,5,MOHK,1,8.2,56,8.2,,0.4,,,4.9,,1.6,,,G,12,72,,Y,13.1,2
2002,5/7/02,5,MOHK,1,8.2,57,8.2,,0.75,,,0,,0,,,,12,,,Y,8.2,0.75
2002,5/7/02,5,MOHK,1,8.2,58,8.2,,0.76,,,1.7,,0.07,,,,12,32,,Y,9.9,0.83
2002,5/7/02,5,MOHK,1,8.2,59,8.2,,0.51,,,1.2,,0.16,,,T,12,18,,Y,9.4,0.67
2002,5/7/02,5,MOHK,1,8.2,60,2.2,,0.09,,,0,,0,,,,12,32,,Y,2.2,0.09
2002,5/7/02,5,MOHK,1,8.2,61,8.2,,0.39,,,0.6,,0.04,,,T,12,,,Y,8.8,0.43
2002,5/7/02,5,MOHK,1,8.2,62,8.2,,0.63,,,2.8,,0.45,,,,12,,,Y,11,1.08
2002,5/10/02,5,ABUR,1,6.4,1,1.5,,0.13,,,0,,0,,,G,14.28,,,Y,1.5,0.13
2002,5/10/02,5,ABUR,1,6.4,2,1.3,,0.14,,,0,,0,,,G,14.28,,,Y,1.3,0.14
2002,5/10/02,5,ABUR,1,6.4,3,0.6,,0.03,,,0,,0,,,G,14.28,,,Y,0.6,0.03
2002,5/10/02,5,ABUR,1,6.4,4,2,,0.24,,,0,,0,,,G,14.28,,,Y,2,0.24
2002,5/10/02,5,ABUR,1,6.4,5,1.7,,0.17,,,0,,0,,,G,14.28,,,Y,1.7,0.17
2002,5/10/02,5,ABUR,1,6.4,6,3.2,,0.66,,,0,,0,,,G,14.28,,,Y,3.2,0.66
2002,5/10/02,5,ABUR,1,6.4,7,2.1,,0.23,,,0,,0,,,G,14.28,,,Y,2.1,0.23
2002,5/10/02,5,ABUR,1,6.4,8,1.8,,0.16,,,0,,0,,,G,14.28,,,Y,1.8,0.16
2002,5/10/02,5,ABUR,1,6.4,9,5.8,,1.98,,,0,,0,,,G,14.28,,,Y,5.8,1.98
2002,5/10/02,5,ABUR,1,6.4,10,0.9,,0.03,,,0,,0,,,G,14.28,,,Y,0.9,0.03
2002,5/10/02,5,ABUR,1,6.4,11,1.8,,0.16,,,0,,0,,,G,14.28,,,Y,1.8,0.16
2002,5/10/02,5,ABUR,1,6.4,12,3.1,,0.32,,,0,,0,,,G,14.28,,,Y,3.1,0.32
2002,5/10/02,5,ABUR,1,6.4,13,6.4,,1.46,,,0.8,,0.21,,,G,14.28,,,Y,7.2,1.67
2002,5/10/02,5,ABUR,1,6.4,14,2.5,,0.33,,,0,,0,,,G,14.28,,,Y,2.5,0.33
2002,5/10/02,5,ABUR,1,6.4,15,1.7,,0.15,,,0,,0,,,G,14.28,,,Y,1.7,0.15
2002,5/10/02,5,ABUR,1,6.4,16,5.9,,1.33,,,0,,0,,,G,14.28,,,Y,5.9,1.33
2002,5/10/02,5,ABUR,1,6.4,17,6.4,,2.3,,,1.3,,0.36,,,G,14.28,,,Y,7.7,2.66
2002,5/10/02,5,ABUR,1,6.4,18,6.4,,1.92,,,0.7,,0.05,,,G,14.28,,,Y,7.1,1.97
2002,5/10/02,5,ABUR,1,6.4,19,4.7,,1.24,,,0,,0,,,G,14.28,,,Y,4.7,1.24
2002,5/10/02,5,ABUR,1,6.4,20,5.8,,1.81,,,0,,0,,,G,14.28,,,Y,5.8,1.81
2002,5/10/02,5,ABUR,1,6.4,21,6,,1.95,,,0,,0,,,G,14.28,,,Y,6,1.95
2002,5/10/02,5,ABUR,1,6.4,22,5.9,,1.53,,,0,,0,,,G,14.28,,,Y,5.9,1.53
2002,5/10/02,5,ABUR,1,6.4,23,1.4,,0.16,,,0,,0,,,G,14.28,,,Y,1.4,0.16
2002,5/10/02,5,ABUR,1,6.4,24,6.4,,1.31,,,3,,0.78,,,G,14.28,,,Y,9.4,2.09
2002,5/10/02,5,ABUR,1,6.4,25,6.4,,0.73,,,2.2,,0.74,,,G,14.28,,,Y,8.6,1.47
2002,5/10/02,5,ABUR,1,6.4,26,6.4,,0.89,,,9.1,,4.13,,,T,14.28,,,Y,15.5,5.02
2002,5/10/02,5,ABUR,1,6.4,27,6.4,,0.15,,,4.8,,0.9,,,T,14.28,,,Y,11.2,1.05
2002,5/10/02,5,ABUR,1,6.4,28,6.4,,1.61,,,7.9,,3.79,,,G,14.28,,,Y,14.3,5.4
2002,5/10/02,5,ABUR,1,6.4,29,6.4,,1.85,,,4.6,,2.22,,,G,14.28,,,Y,11,4.07
2002,5/10/02,5,ABUR,1,6.4,30,6.4,,0.87,,,10.4,,4.55,,,T,14.28,,,Y,16.8,5.42
2002,5/10/02,5,ABUR,1,6.4,31,6.4,,0.74,,,7,,3.23,,,T,14.28,,,Y,13.4,3.97
2002,5/10/02,5,ABUR,1,6.4,32,6.4,,0.74,,,5.3,,2.29,,,G,14.28,,,Y,11.7,3.03
2002,5/10/02,5,ABUR,1,6.4,33,6.4,,0.62,,,11.3,,3.96,,,T,14.28,,,Y,17.7,4.58
2002,5/10/02,5,ABUR,1,6.4,34,6.4,,0.7,,,5.8,,2.17,,,G,14.28,,,Y,12.2,2.87
2002,5/10/02,5,ABUR,1,6.4,35,1.8,,0.1,,,0,,0,,,,14.28,,,Y,1.8,0.1
2002,5/15/02,5,AQUE,1,7,1,0.4,,0,,,0,,0,,,G,13.72,,,Y,0.4,0
2002,5/15/02,5,AQUE,1,7,2,0.5,,0.02,,,0,,0,,,G,13.72,,,Y,0.5,0.02
2002,5/15/02,5,AQUE,1,7,3,1.3,,0.13,,,0,,0,,,G,13.72,,,Y,1.3,0.13
2002,5/15/02,5,AQUE,1,7,4,2.1,,0.28,,,0,,0,,,G,13.72,,,Y,2.1,0.28
2002,5/15/02,5,AQUE,1,7,5,2.1,,0.27,,,0,,0,,,G,13.72,,,Y,2.1,0.27
2002,5/15/02,5,AQUE,1,7,6,3.9,,0.64,,,0,,0,,,G,13.72,,,Y,3.9,0.64
2002,5/15/02,5,AQUE,1,7,7,7,,0.73,,,1.3,,0.25,,,T,13.72,,,Y,8.3,0.98
2002,5/15/02,5,AQUE,1,7,8,7,,1.37,,,1.8,,0.61,,,G,13.72,,,Y,8.8,1.98
2002,5/15/02,5,AQUE,1,7,9,1.7,,0.19,,,0,,0,,,G,13.72,,,Y,1.7,0.19
2002,5/15/02,5,AQUE,1,7,10,4.6,,0.81,,,0,,0,,,G,13.72,,,Y,4.6,0.81
2002,5/15/02,5,AQUE,1,7,11,6,,1.29,,,0,,0,,,G,13.72,,,Y,6,1.29
2002,5/15/02,5,AQUE,1,7,12,7,,1,,,1.1,,0.51,,,T,13.72,,,Y,8.1,1.51
2002,5/15/02,5,AQUE,1,7,13,0.5,,0.03,,,0,,0,,,G,13.72,,,Y,0.5,0.03
2002,5/15/02,5,AQUE,1,7,14,1.7,,0.18,,,0,,0,,,G,13.72,,,Y,1.7,0.18
2002,5/15/02,5,AQUE,1,7,15,1,,0.06,,,0,,0,,,G,13.72,,,Y,1,0.06
2002,5/15/02,5,AQUE,1,7,16,7,,0.45,,,12.4,,2.76,,,T,13.72,,,Y,19.4,3.21
2002,5/15/02,5,AQUE,1,7,17,5.1,,0.81,,,0,,0,,,G,13.72,,,Y,5.1,0.81
2002,5/15/02,5,AQUE,1,7,18,2.8,,0.33,,,0,,0,,,G,13.72,,,Y,2.8,0.33
2002,5/15/02,5,AQUE,1,7,19,7,,1.5,,,1.1,,0.35,,,G,13.72,,,Y,8.1,1.85
2002,5/15/02,5,AQUE,1,7,20,7,,0.63,,,6.2,,1.7,,,T,13.72,,,Y,13.2,2.33
2002,5/15/02,5,AQUE,1,7,21,7,,0.69,,,3.9,,1.14,,,T,13.72,,,Y,10.9,1.83
2002,5/15/02,5,AQUE,1,7,22,5.4,,0.91,,,0,,0,,,G,13.72,,,Y,5.4,0.91
2002,5/15/02,5,AQUE,1,7,23,0.8,,0.09,,,0,,0,,,G,13.72,,,Y,0.8,0.09
2002,5/15/02,5,AQUE,1,7,24,1.7,,0.16,,,0,,0,,,G,13.72,,,Y,1.7,0.16
2002,5/15/02,5,AQUE,1,7,25,6.4,,1.24,,,0,,0,,,G,13.72,,,Y,6.4,1.24
2002,5/15/02,5,AQUE,1,7,26,7,,0.42,,,14.2,,2.25,,,T,13.72,,,Y,21.2,2.67
2002,5/15/02,5,AQUE,1,7,27,7,,0.47,,,0.8,,0.02,,,T,13.72,,,Y,7.8,0.49
2002,5/15/02,5,AQUE,1,7,28,2.1,,0.14,,,0,,0,,,G,13.72,,,Y,2.1,0.14
2002,5/15/02,5,AQUE,1,7,29,6.4,,0.62,,,0,,0,,,T,13.72,,,Y,6.4,0.62
2002,5/15/02,5,AQUE,1,7,30,7,,0.54,,,5.6,,1.21,,,T,13.72,,,Y,12.6,1.75
2002,5/15/02,5,AQUE,1,7,31,7,,0.39,,,9.5,,1.64,,,T,13.72,,,Y,16.5,2.03
2002,5/15/02,5,AQUE,1,7,32,7,,0.68,,,5.3,,0.81,,,T,13.72,,,Y,12.3,1.49
2002,5/15/02,5,AQUE,1,7,33,6,,2.15,,,0,,0,,,T,13.72,,,Y,6,2.15
2002,5/15/02,5,AQUE,1,7,34,1.5,,0.07,,,0,,0,,,S,13.72,,,Y,1.5,0.07
2002,5/15/02,5,AQUE,1,7,35,7,,0.43,,,8.7,,1.22,,,T,13.72,,,Y,15.7,1.65
2002,5/15/02,5,AQUE,1,7,36,7,,0.47,,,11.6,,2.66,,,G,13.72,,,Y,18.6,3.13
2002,5/15/02,5,AQUE,1,7,37,3.2,,0.52,,,0,,0,,,G,13.72,,,Y,3.2,0.52
2002,5/15/02,5,AQUE,1,7,38,7,,0.58,,,10.9,,2.96,,,G,13.72,,,Y,17.9,3.54
2002,5/15/02,5,AQUE,2,10.6,1,2.2,,0.18,,,0,,0,,,G,3.78,,*,Y,2.2,0.18
2002,5/15/02,5,AQUE,2,10.6,2,1.45,,0.08,,,0,,0,,,G,3.78,,p,Y,1.45,0.08
2002,5/15/02,5,AQUE,2,10.6,3,8.2,,1.36,,,0,,0,,,G,3.78,,w,Y,8.2,1.36
2002,5/15/02,5,AQUE,2,10.6,4,5.2,,0.68,,,0,,0,,,T,3.78,,t,Y,5.2,0.68
2002,5/15/02,5,AQUE,2,10.6,5,10.6,,1.84,,,0,,0,,,G,3.78,,p,Y,10.6,1.84
2002,5/15/02,5,AQUE,2,10.6,6,5.3,,0.65,,,0,,0,,,G,3.78,,,Y,5.3,0.65
2002,5/15/02,5,AQUE,2,10.6,7,6.9,,1.13,,,0,,0,,,G,3.78,,,Y,6.9,1.13
2002,5/15/02,5,AQUE,2,10.6,8,1.8,,0.15,,,0,,0,,,G,3.78,,,Y,1.8,0.15
2002,5/15/02,5,AQUE,2,10.6,9,4.3,,0.54,,,0,,0,,,G,3.78,,,Y,4.3,0.54
2002,5/15/02,5,AQUE,2,10.6,10,4.7,,0.39,,,0,,0,,,T,3.78,,,Y,4.7,0.39
2002,5/15/02,5,AQUE,2,10.6,11,7,,0.31,,,0,,0,,,S,3.78,,,Y,7,0.31
2002,5/15/02,5,AQUE,2,10.6,12,10.6,,0.95,,,9.4,,3.26,,,G,3.78,,,Y,20,4.21
2002,5/15/02,5,AQUE,2,10.6,13,9.6,,0.55,,,0,,0,,,T,3.78,,,Y,9.6,0.55
2002,5/15/02,5,AQUE,2,10.6,14,10.6,,0.46,,,10.5,,1.25,,,T,3.78,,,Y,21.1,1.71
2002,5/15/02,5,AQUE,2,10.6,15,1.2,,0.09,,,0,,0,,,G,3.78,,,Y,1.2,0.09
2002,5/15/02,5,AQUE,2,10.6,16,1,,0.05,,,0,,0,,,G,3.78,,,Y,1,0.05
2002,5/15/02,5,AQUE,2,10.6,17,10.6,,3.05,,,2.2,,0.71,,,T,3.78,,,Y,12.8,3.76
2002,5/15/02,5,AQUE,2,10.6,18,10.6,,2,,,0.3,,0.02,,,G,3.78,,,Y,10.9,2.02
2002,5/15/02,5,AQUE,2,10.6,19,10.6,,2.25,,,1.2,,0.2,,,G,3.78,,,Y,11.8,2.45
2002,5/15/02,5,AQUE,2,10.6,20,10.6,,1.27,,,7.1,,2.28,,,T,3.78,,,Y,17.7,3.55
2002,5/15/02,5,AQUE,2,10.6,21,3.6,,0.19,,,0,,0,,,S,3.78,,,Y,3.6,0.19
2002,5/15/02,5,AQUE,2,10.6,22,2.9,,0.14,,,0,,0,,,S,3.78,,,Y,2.9,0.14
2002,6/10/02,6,MOHK,1,6.9,1,1.7,,1.45,,,0,,0,,,G,,,n,Y,1.7,1.45
2002,6/10/02,6,MOHK,1,6.9,2,1.2,,0.08,,,0,,0,,,G,,,n,Y,1.2,0.08
2002,6/10/02,6,MOHK,1,6.9,3,0.9,,0.08,,,0,,0,,,G,,,n,Y,0.9,0.08
2002,6/10/02,6,MOHK,1,6.9,4,0.9,,0.06,,,0,,0,,,S,,,n,Y,0.9,0.06
2002,6/10/02,6,MOHK,1,6.9,5,5.1,,0.25,,,0,,0,,,C,,,n,Y,5.1,0.25
2002,6/10/02,6,MOHK,1,6.9,6,1,,0.07,,,0,,0,,,G,,,n,Y,1,0.07
2002,6/10/02,6,MOHK,1,6.9,7,0.9,,0.07,,,0,,0,,,G,,,n,Y,0.9,0.07
2002,6/10/02,6,MOHK,1,6.9,8,5,,0.27,,,0,,0,,,C,,,n,Y,5,0.27
