Project,Era,SampleYear,Region,RegionAbbr,AR_Complex,AR_Complex_abbr,Site,SiteType,SampleDate,DiveReplicate,DepthZone,Transect,BenthicReefSpecies,SpeciesGroupF,Abundance,area.m2,Temperature_c,Latitude_d,Longitude_d,SurveyDepth_m
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2A,Module,2020-11-13,1,ARM,PVR 2A 13-Nov-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,12.5,33.7234,-118.34996,18.09
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2A,Module,2020-11-13,2,ARM,PVR 2A 13-Nov-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,12.5,33.7234,-118.34996,18.09
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2B,Module,2020-11-13,1,ARM,PVR 2B 13-Nov-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.72278,-118.34978,18.288888888888888
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2B,Module,2020-11-13,2,ARM,PVR 2B 13-Nov-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13,33.72278,-118.34978,18.288888888888888
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2C,Module,2020-11-13,1,ARM,PVR 2C 13-Nov-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.72254,-118.3491,17.566666666666666
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2C,Module,2020-11-13,2,ARM,PVR 2C 13-Nov-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,1,60,13,33.72254,-118.3491,17.566666666666666
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4D,Module,2020-12-01,1,ARM,PVR 4D 01-Dec-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,14,33.72197,-118.34721,18.27
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4D,Module,2020-12-01,2,ARM,PVR 4D 01-Dec-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,14,33.72197,-118.34721,18.27
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4B,Module,2020-12-01,1,ARM,PVR 4B 01-Dec-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13.5,33.72156,-118.34678,19.1
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4B,Module,2020-12-01,2,ARM,PVR 4B 01-Dec-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13.5,33.72156,-118.34678,19.1
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4C,Module,2020-12-01,1,ARM,PVR 4C 01-Dec-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13.5,33.7211,-118.34674,20.766666666666666
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4C,Module,2020-12-01,2,ARM,PVR 4C 01-Dec-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13.5,33.7211,-118.34674,20.766666666666666
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5A,Module,2020-12-12,1,ARM,PVR 5A 12-Dec-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.72157,-118.34582,17.94
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5A,Module,2020-12-12,2,ARM,PVR 5A 12-Dec-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13,33.72157,-118.34582,17.94
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5B,Module,2020-12-12,1,ARM,PVR 5B 12-Dec-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.72099,-118.3454,19.022222222222226
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5B,Module,2020-12-12,2,ARM,PVR 5B 12-Dec-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13,33.72099,-118.3454,19.022222222222226
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5C,Module,2020-12-01,1,ARM,PVR 5C 01-Dec-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13.5,33.72046,-118.34526,19.233333333333334
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5C,Module,2020-12-01,2,ARM,PVR 5C 01-Dec-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13.5,33.72046,-118.34526,19.233333333333334
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6A,Module,2021-01-15,1,ARM,PVR 6A 15-Jan-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,1,60,12,33.72104,-118.34395,17.67
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6A,Module,2021-01-15,2,ARM,PVR 6A 15-Jan-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,12,33.72104,-118.34395,17.67
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6D,Module,2020-12-12,1,ARM,PVR 6D 12-Dec-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13.5,33.72051,-118.34391,18.677777777777777
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6D,Module,2020-12-12,2,ARM,PVR 6D 12-Dec-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13.5,33.72051,-118.34391,18.677777777777777
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6C,Module,2020-12-12,1,ARM,PVR 6C 12-Dec-2020 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.71998,-118.34387,20.255555555555556
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6C,Module,2020-12-12,2,ARM,PVR 6C 12-Dec-2020 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13,33.71998,-118.34387,20.255555555555556
